Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/CustomPlugin,647,647,0,"100,00"
/CustomPlugin/.git,40,40,0,"100,00"
/CustomPlugin/.git/hooks,640,640,0,"100,00"
/CustomPlugin/.git/info,6,6,0,"100,00"
/CustomPlugin/.git/logs,6,6,0,"100,00"
/CustomPlugin/.git/logs/refs/heads,4,4,0,"100,00"
/CustomPlugin/.git/logs/refs/remotes/origin,2,2,0,"100,00"
/CustomPlugin/.git/objects/01,4,4,0,"100,00"
/CustomPlugin/.git/objects/02,7,7,0,"100,00"
/CustomPlugin/.git/objects/08,3,3,0,"100,00"
/CustomPlugin/.git/objects/0a,2,2,0,"100,00"
/CustomPlugin/.git/objects/0d,2,2,0,"100,00"
/CustomPlugin/.git/objects/16,1,1,0,"100,00"
/CustomPlugin/.git/objects/20,9,9,0,"100,00"
/CustomPlugin/.git/objects/23,1,1,0,"100,00"
/CustomPlugin/.git/objects/34,1,1,0,"100,00"
/CustomPlugin/.git/objects/3d,1,1,0,"100,00"
/CustomPlugin/.git/objects/46,1,1,0,"100,00"
/CustomPlugin/.git/objects/49,2,2,0,"100,00"
/CustomPlugin/.git/objects/51,1,1,0,"100,00"
/CustomPlugin/.git/objects/64,5,5,0,"100,00"
/CustomPlugin/.git/objects/6d,1,1,0,"100,00"
/CustomPlugin/.git/objects/73,2,2,0,"100,00"
/CustomPlugin/.git/objects/7a,4,4,0,"100,00"
/CustomPlugin/.git/objects/87,3,3,0,"100,00"
/CustomPlugin/.git/objects/8b,16,16,0,"100,00"
/CustomPlugin/.git/objects/92,7,7,0,"100,00"
/CustomPlugin/.git/objects/94,5,5,0,"100,00"
/CustomPlugin/.git/objects/95,33,33,0,"100,00"
/CustomPlugin/.git/objects/b3,4,4,0,"100,00"
/CustomPlugin/.git/objects/ba,6,6,0,"100,00"
/CustomPlugin/.git/objects/c1,11,11,0,"100,00"
/CustomPlugin/.git/objects/c4,5,5,0,"100,00"
/CustomPlugin/.git/objects/c9,4,4,0,"100,00"
/CustomPlugin/.git/objects/e8,1,1,0,"100,00"
/CustomPlugin/.git/objects/ef,7,7,0,"100,00"
/CustomPlugin/.git/objects/f5,1,1,0,"100,00"
/CustomPlugin/.git/objects/f6,17,17,0,"100,00"
/CustomPlugin/.git/objects/f9,1,1,0,"100,00"
/CustomPlugin/.git/objects/fc,1,1,0,"100,00"
/CustomPlugin/.git/objects/fe,3,3,0,"100,00"
/CustomPlugin/.git/refs/heads,1,1,0,"100,00"
/CustomPlugin/.git/refs/remotes/origin,1,1,0,"100,00"
/CustomPlugin/.settings,9,9,0,"100,00"
/CustomPlugin/META-INF,15,15,0,"100,00"
/CustomPlugin/OSGI-INF/l10n,19,19,0,"100,00"
/CustomPlugin/bin/customplugin,181,181,0,"100,00"
/CustomPlugin/bin/customplugin/handlers,61,61,0,"100,00"
/CustomPlugin/bin/customplugin/views,207,207,0,"100,00"
/CustomPlugin/bin/customplugin/wizards,59,59,0,"100,00"
/CustomPlugin/icons,18,18,0,"100,00"
/CustomPlugin/src/customplugin,223,223,0,"100,00"
/CustomPlugin/src/customplugin/handlers,124,124,0,"100,00"
/CustomPlugin/src/customplugin/views,295,295,0,"100,00"
/CustomPlugin/src/customplugin/wizards,203,203,0,"100,00"
